date,year,month,nino_1_2,nino_3,nino_3_4,nino_4
1950-01-01,1950,1,-1.55,-2.1,-1.99,-1.38
1950-02-01,1950,2,-1.78,-1.52,-1.69,-1.53
1950-03-01,1950,3,-1.38,-0.84,-1.42,-1.8
1950-04-01,1950,4,-1.9,-1.14,-1.54,-1.73
1950-05-01,1950,5,-1.74,-1.57,-1.75,-1.18
1950-06-01,1950,6,-1.79,-1.11,-1.27,-0.84
1950-07-01,1950,7,-1.65,-0.9,-1.01,-1.26
1950-08-01,1950,8,-0.88,-0.65,-0.97,-1.25
1950-09-01,1950,9,-1.17,-0.89,-0.98,-1.49
1950-10-01,1950,10,-1.02,-0.81,-1.03,-1.63
1950-11-01,1950,11,-1.8,-1.24,-1.23,-1.7
1950-12-01,1950,12,-1.09,-1.08,-1.31,-1.4
1951-01-01,1951,1,-0.46,-0.87,-1.3,-1.1
1951-02-01,1951,2,-0.91,-0.76,-1.04,-1.11
1951-03-01,1951,3,-0.75,-0.33,-0.38,-0.58
1951-04-01,1951,4,-0.25,-0.21,-0.23,-0.42
1951-05-01,1951,5,0.17,-0.18,-0.01,0.26
1951-06-01,1951,6,1.49,0.04,0.0,0.08
1951-07-01,1951,7,1.86,0.62,0.3,0.23
1951-08-01,1951,8,1.17,0.41,0.17,-0.26
1951-09-01,1951,9,0.56,0.46,0.51,-0.12
1951-10-01,1951,10,0.72,0.6,0.49,-0.22
1951-11-01,1951,11,0.68,0.8,0.55,-0.04
1951-12-01,1951,12,0.02,0.61,0.31,0.04
1952-01-01,1952,1,-0.21,0.14,0.13,-0.04
1952-02-01,1952,2,-0.08,-0.04,-0.01,-0.16
1952-03-01,1952,3,-0.41,-0.15,-0.11,-0.34
1952-04-01,1952,4,-1.1,-0.31,-0.02,-0.16
1952-05-01,1952,5,-0.93,-0.61,-0.14,-0.25
1952-06-01,1952,6,-1.2,-0.92,-0.54,-0.47
1952-07-01,1952,7,-1.23,-0.99,-0.76,-0.77
1952-08-01,1952,8,-1.11,-0.68,-0.56,-0.79
1952-09-01,1952,9,-1.36,-0.64,-0.36,-0.37
1952-10-01,1952,10,-0.65,-0.62,-0.46,-0.7
1952-11-01,1952,11,-0.82,-1.03,-0.78,-0.54
1952-12-01,1952,12,-0.5,-0.56,-0.39,-0.69
1953-01-01,1953,1,-0.44,0.06,0.2,-0.34
1953-02-01,1953,2,0.17,0.22,0.24,-0.22
1953-03-01,1953,3,0.74,0.31,0.29,-0.29
1953-04-01,1953,4,1.47,0.13,0.22,-0.14
1953-05-01,1953,5,1.01,0.12,0.35,0.01
1953-06-01,1953,6,0.31,0.26,0.39,0.18
1953-07-01,1953,7,-0.0,-0.07,0.14,-0.05
1953-08-01,1953,8,0.17,-0.06,0.09,-0.22
1953-09-01,1953,9,0.33,0.28,0.29,-0.46
1953-10-01,1953,10,-0.18,0.12,0.16,-0.1
1953-11-01,1953,11,-0.14,0.04,0.18,-0.11
1953-12-01,1953,12,-0.59,0.2,0.41,0.03
1954-01-01,1954,1,-1.91,-0.16,0.43,0.04
1954-02-01,1954,2,-1.22,-0.13,0.28,-0.02
1954-03-01,1954,3,-1.32,-0.65,-0.38,-0.35
1954-04-01,1954,4,-3.09,-1.97,-1.17,-0.71
1954-05-01,1954,5,-2.99,-1.64,-0.81,-0.71
1954-06-01,1954,6,-2.46,-1.58,-0.93,-0.8
1954-07-01,1954,7,-2.83,-1.46,-1.18,-1.08
1954-08-01,1954,8,-1.69,-1.56,-1.43,-1.16
1954-09-01,1954,9,-1.71,-1.73,-1.6,-1.27
1954-10-01,1954,10,-2.04,-1.66,-1.48,-1.48
1954-11-01,1954,11,-1.45,-1.46,-1.13,-1.16
1954-12-01,1954,12,-1.47,-1.55,-1.33,-1.24
1955-01-01,1955,1,-0.84,-0.86,-0.93,-0.91
1955-02-01,1955,2,-1.13,-0.71,-0.95,-1.09
1955-03-01,1955,3,-1.37,-0.9,-1.06,-1.23
1955-04-01,1955,4,-1.24,-1.31,-1.22,-1.06
1955-05-01,1955,5,-2.16,-1.82,-1.28,-1.1
1955-06-01,1955,6,-1.92,-1.69,-1.18,-0.96
1955-07-01,1955,7,-1.44,-1.41,-1.15,-0.86
1955-08-01,1955,8,-1.55,-1.45,-1.35,-1.25
1955-09-01,1955,9,-1.47,-1.68,-1.43,-1.35
1955-10-01,1955,10,-1.82,-2.4,-2.31,-2.0
1955-11-01,1955,11,-1.83,-2.39,-2.45,-2.0
1955-12-01,1955,12,-1.69,-2.09,-2.03,-1.45
1956-01-01,1956,1,-1.31,-1.06,-1.2,-1.28
1956-02-01,1956,2,-1.2,-0.7,-0.99,-1.19
1956-03-01,1956,3,-0.75,-0.54,-0.83,-1.1
1956-04-01,1956,4,-1.15,-0.66,-0.97,-1.1
1956-05-01,1956,5,-1.21,-0.76,-0.8,-0.91
1956-06-01,1956,6,-0.94,-0.85,-0.92,-0.79
1956-07-01,1956,7,-0.14,-1.03,-1.06,-1.04
1956-08-01,1956,8,-0.43,-1.06,-1.17,-1.46
1956-09-01,1956,9,-1.01,-1.03,-0.98,-1.42
1956-10-01,1956,10,-1.19,-1.07,-0.97,-1.12
1956-11-01,1956,11,-1.06,-1.33,-1.14,-0.81
1956-12-01,1956,12,-1.32,-1.21,-0.89,-0.65
1957-01-01,1957,1,-1.66,-0.72,-0.51,-0.61
1957-02-01,1957,2,0.07,-0.2,-0.22,-0.47
1957-03-01,1957,3,0.78,0.26,0.18,-0.45
1957-04-01,1957,4,1.13,0.28,0.41,-0.06
1957-05-01,1957,5,2.4,0.53,0.62,0.01
1957-06-01,1957,6,2.01,0.69,0.63,-0.38
1957-07-01,1957,7,1.86,1.08,0.87,-0.55
1957-08-01,1957,8,1.2,0.88,0.84,-0.04
1957-09-01,1957,9,0.91,0.65,0.72,-0.11
1957-10-01,1957,10,0.63,0.61,0.7,0.02
1957-11-01,1957,11,0.56,0.91,0.92,0.07
1957-12-01,1957,12,0.66,1.25,1.3,0.34
1958-01-01,1958,1,0.14,1.3,1.78,0.73
1958-02-01,1958,2,0.26,1.03,1.49,0.93
1958-03-01,1958,3,0.48,0.52,0.98,0.67
1958-04-01,1958,4,0.71,0.23,0.46,0.27
1958-05-01,1958,5,0.12,0.04,0.38,0.07
1958-06-01,1958,6,-0.02,-0.05,0.26,0.02
1958-07-01,1958,7,0.06,-0.24,0.03,-0.06
1958-08-01,1958,8,-0.42,-0.21,-0.01,-0.14
1958-09-01,1958,9,-0.41,-0.51,-0.32,-0.15
1958-10-01,1958,10,-0.19,-0.5,-0.27,0.01
1958-11-01,1958,11,-0.38,-0.21,0.05,-0.02
1958-12-01,1958,12,-0.5,-0.42,0.02,0.11
1959-01-01,1959,1,-0.88,-0.08,0.53,0.05
1959-02-01,1959,2,-0.47,-0.06,0.43,-0.21
1959-03-01,1959,3,0.34,-0.13,0.19,-0.32
1959-04-01,1959,4,0.12,-0.13,0.06,-0.18
1959-05-01,1959,5,-0.39,-0.41,-0.23,-0.26
1959-06-01,1959,6,-0.63,-0.55,-0.35,-0.45
1959-07-01,1959,7,-0.57,-0.86,-0.86,-0.63
1959-08-01,1959,8,-1.01,-0.87,-0.77,-0.54
1959-09-01,1959,9,-0.61,-0.73,-0.8,-0.56
1959-10-01,1959,10,-0.29,-0.44,-0.48,-0.44
1959-11-01,1959,11,0.1,-0.53,-0.66,-0.66
1959-12-01,1959,12,-0.23,-0.48,-0.42,-0.51
1960-01-01,1960,1,-0.33,-0.34,-0.28,-0.7
1960-02-01,1960,2,-0.42,-0.47,-0.46,-0.75
